title,industry,company,city,state,zipcode,payLow,payHigh,payType,description
Healthcare Data Analyst,healthcare,University of Connecticut,Farmington,CT,null,74776,74776,year,Six (6) years of experience in a healthcare data analytical role.Performs advanced statistical analyses to identify patterns and trends and opportunityΓÇª
Virtual Care Technician,healthcare,VCA Animal Hospitals,null,null,null,0,0,null,Receives and responds to live chats from VCA clients with questions or concerns about their pet utilizing professional accurate and appropriate terminologyΓÇª
Medical Biller/Accounts Receivable,healthcare,swipejobs,null,null,null,18,24,hour,Education/Experience: High school diploma Knowledge of business and accounting processes usually obtained from an associate's degree with a degree in BusinessΓÇª
Compliance and Quality Management-Behavioral Health,healthcare,Modern Recovery Services,Remote,null,null,40000,50000,year,Demonstrated ability to remain calm in crisis situations work independently and cooperatively recognize personal limitations and relate positively and withΓÇª
SCHEDULER 1,healthcare,Methodist Health System,Dallas,TX,75237,0,0,null,The primary purpose of the Scheduler position is to schedule all patient procedures following physicianΓÇÖs orders to collect accurate clinical demographicsΓÇª
Medical Collector,healthcare,Diversified Health Care Affiliates Inc.,Remote in,TX,null,15,17,hour,Open to applicants who do not have a high school diploma/GED.Open to applicants who do not have a college diploma.Medical Collections: 1 year (Preferred).
Medical Technologist,healthcare,Hopewell Health INC,Kaneohe,HI,null,65,65,hour,Preparing biological samples for testing including tissue blood urine spinal fluid and gastric juices.Performing serological bacteriological biochemicalΓÇª
Pre-Registration Representative,healthcare,Legacy Health,Remote in,OR,97232,0,0,null,High school diploma or equivalent required.Ability to deal with people in stressful situations.A minimum of one year of healthcare experience or equivalentΓÇª
Area Manager of Admissions - Remote,healthcare,Option Care Health,Remote in,IL,null,From,From,a,High school diploma or equivalent and a minimum of 5 years of healthcare finance administration and/or revenue cycle operations experience.
Customer Service Representative - Work from home,healthcare,Cigna,Remote in,CT,6152,16,18,hour,What about a starting pay of $16 - $18 an hour based on experience & education medical benefits that start on day one and 8 hours paid time off to volunteerΓÇª
Nurse Utilization Review Services - REMOTE,healthcare,Exela Technologies Inc.,Remote,null,null,0,0,null,- Applying criteria to inpatient admissions and performing concurrent review functions identifying discharge planning needs and referrals to case management.
Insurance Specialist II - Work From Home,healthcare,NAVIENT,null,null,null,0,0,null,Ability to understand navigate and perform research of account within client host systems.The Insurance Specialist will be required to have flexibility toΓÇª
Patient Registration Specialist,healthcare,SCL Health Corporate,Lafayette,CO,80026,15.87,25.29,hour,Explain/answer patient billing inquiries and interpret statement data to resolve accounts.Our generous package includes medical dental and vision coverage.
Medical Office Assistant,healthcare,Tampa PainMD,Tampa,FL,33629,32000,45000,month,Medical terminology: 1 year (Preferred).Prepares patients for examination and treatment.Prepares exam and treatment rooms with necessary instruments andΓÇª
Behavior Technician-Working with Kids-ABA,healthcare,Attain ABA,Frederick,MD,null,20,26,hour,Employee discounts ΓÇô travel entertainment other work-life perks.This is an hourly job with the potential to be either a part-time or full-time job dependingΓÇª
Medical Billing Specialist (Full-Time),healthcare,Westside Children's Therapy,Hybrid remote,IL,null,0,0,null,The Medical Billing Team is divided into 3 teams: Patients Team Insurance Team and Outbound Team.Set up and run payment plans.
Patient Care Coordinator Fully Remote,healthcare,Omni Eye Specialist Pa,Remote in,NJ,8830,0,0,null,High school diploma or general education degree (GED); or one to three months related experience and/or training; or equivalent combination of education andΓÇª
Scheduler,healthcare,Phoenix Children's Hospital,Phoenix,AZ,null,0,0,null,Schedules patient examinations for all modalities cancel appointments and/or reschedules as necessary and corrects or modifies discrepancies in scheduling;ΓÇª
Telehealth Nurse,healthcare,CopilotIQ,Remote,null,null,0,0,null,This position offers full-time hours and benefits flexibility and the ability to work from home.There are times in the field when our teams face rejectionΓÇª
HEDIS Coordinator- Fully Remote Nationwide,healthcare,AR Health & Wellness,Remote in,AR,null,0,0,null,3+ years of quality improvement or healthcare related experience.Perform duties to ensure HEDIS data accuracy and reporting including investigation auditingΓÇª
Entry Level Healthcare Position,healthcare,Cypress Healthcare & Rehabilitation,San Marcos,TX,78666,0,0,null,PAID on the job training to become a nursing assistant.SIGN ON BONUS (FT Only).Paid time off health insurance dental vision short term disability longΓÇª
Medicaid Specialist,healthcare,JJSC Consulting,Remote,null,null,18,18,hour,High school diploma or equivalent degree is required.Receive and send snail mail using online mail services.High school or equivalent (Required).
13-Week Contract CNAs NEEDED- Birmingham AL,healthcare,Flextime Nurses,Birmingham,AL,null,21,21,hour,Collaborate with registered nurses to administer prescribed medications.Flexible shifts are especially available on Evening Nights and Weekend.
Marijuana Patient Care Specialist,healthcare,MMJ Health FL,Hybrid remote,FL,33403,41179,62217,year,Duties will include taking detailed notes and information about patient inquires updating client information on their health records answering questions andΓÇª
Intake Coordinator/ Insurance Verification Specialist,healthcare,Urban Balance,Remote,null,null,16,22,hour,High school or equivalent (Preferred).The Intake Coordinator is also responsible for verifying insurance coverage and determining the initial financialΓÇª
Remote Medical Scribe - Paid Training,healthcare,Scribe-x Llc,Remote in,TX,77001,11,11,hour,High School diploma or equivalent required.Scribe-X offers unparalleled clinical experience and preparation for medical school.
Call Center Customer Service Representative - REMOTE,healthcare,ComplexCare Solutions,Remote,null,null,15.75,16,hour,Ideal candidates will be energetic positive and organized professionals who are able to effectively create relationships within the healthcare market.
Healthcare Administrative Assistant - No Healthcare Experien...,healthcare,Allied Dentists LLP,New York,NY,10036,From,From,an,Experience in a healthcare setting is not required because extensive training.Training*: is paid and takes 2-3 weeks full time or 4-6 weeks if performed partΓÇª
Entry Level Healthcare Position,healthcare,Timberidge Nursing & Rehabilitation,Jasper,TX,75951,0,0,null,PAID on the job training to become a nursing assistant.SIGN ON BONUS (FT Only).Paid time off health insurance dental vision short term disability longΓÇª
Patient Escort-Full time (30 hours a week) - NCHDE-Patient s...,healthcare,Nemours,Wilmington,DE,19803,0,0,null,This position is a full time position which will provide Patient Escort services to patient and their families during the regular business weekday MondayΓÇª
Care Coordinator,healthcare,Verustat Inc.,Remote,null,null,From,From,an,Strong work history supporting patients and providers in various healthcare settings.Must have a suitable space to set up a home office to mitigateΓÇª
Clinic Receptionist,healthcare,Regional Medical Clinic,Greenville,AL,36037,0,0,null,Knowledge of medical terminology procedures and diagnosis helpful.High school or equivalent (Preferred).Attends to patients and visitors on the phone and inΓÇª
Medical Claims Clearinghouse Specialist,healthcare,Orthopedic One,Westerville,OH,43082,0,0,null,A high school diploma/GED required.Identifies solutions and responds professionally to patient concerns i.e. pleasant tone of voice courteous language etc.
HOSPITAL BILLING CLERK I - OAHU,healthcare,State of Hawaii,Oahu Island,HI,null,2816,3425,month,As a condition of employment with the State of Hawaii all qualified external candidates who have been given a conditional offer of employment must show proofΓÇª
Medical Assistant,healthcare,ASI Staff Inc,Jasper,AL,35501,0,0,null,ASI has Full-time and Part-time medical assistant positions available in Jasper AL.This is a position for individuals looking for a start in the medical fieldΓÇª
OR Scheduler,healthcare,Sky Ridge Medical Center,Lone Tree,CO,80124,18.06,25.28,hour,High school or GED preferred.Your benefits include 401k PTO medical dental flex spending life disability tuition reimbursement employee discountΓÇª
Entry Level Healthcare Position,healthcare,Hessmer Nursing Home,Hessmer,LA,71341,0,0,null,PAID on the job training to become a nursing assistant.SIGN ON BONUS (FT Only).Paid time off health insurance dental vision short term disability longΓÇª
Patient Server at Columbia St. Mary's Milwaukee - Full or Pa...,healthcare,TouchPoint Support Services,Milwaukee,WI,53211,From,From,an,Offers alternatives to menu as allowed on prescribed diet in accordance with food allergies and sensitivities cultural ethnic and religious preferences whenΓÇª
Behavior Technician-Working with Kids-ABA,healthcare,Attain ABA,Frederick,MD,null,20,26,hour,Employee discounts ΓÇô travel entertainment other work-life perks.This is an hourly job with the potential to be either a part-time or full-time job dependingΓÇª
Dental Front Desk,healthcare,Carepoint Endodontics/Carolina Periodontics &...,Spartanburg,SC,29301,20,35,hour,Applicant must have experience with insurance check-in/out and be a team player.
CNA - Certified Nursing Assistant - ($27) Make Your Own Sche...,healthcare,Ro Health,Hacienda Heights,CA,null,22,27,hour,Certified Nursing Assistant - CNA - Flexible Scheduling*.Ro Health provides the best professional experience that you deserve so you can comfortably give yourΓÇª
Medical Receptionist,healthcare,Medical Office,Tualatin,OR,97062,17,19,hour,Duties will include greeting patients answering multiline phones phone triage referrals authorizations.High school or equivalent (Preferred).
Medical Biller - Remote,healthcare,TruBridge,null,null,null,0,0,null,5 years of recent Critical Access or Acute Care facility billing.This position is responsible for acting as a liaison for hospitals and clinics using TruBridgeΓÇª
Receptionist,healthcare,Confidential,Baldwinville,MA,1436,0,0,null,Medical terminology: 1 year (Preferred).High school or equivalent (Preferred).Seeks out learning experiences and incorporates new knowledge into practice.
CMT (Certified Medical Technician - Make your own schedule a...,healthcare,ShiftKey,Arnold,MO,63010,0,0,null,"The people and facilities are respectful and helpful."".Bid for shifts at the rates YOU specify.Explore CNA LPN/LVN RN and other shifts searchable by ZIPΓÇª"
Nurse's Aide,healthcare,St. Joseph Villa,South Salt,UT,84115,From,From,an,Job Types: Full-time Part-time.
Standardized Patient - Part-Time,healthcare,West Coast University,Dallas,TX,75221,0,0,null,Standardized patients will often be physically examined by students and faculty as part of the medical students learning experience.
Appointment Scheduler-Medical,healthcare,Larchmont Medical Imaging,Hainesport,NJ,8036,0,0,null,Medical terminology: 1 year (Preferred).Qualified candidates MUST have prior medical scheduling billing or medical registration (CSR or Pre-Cert.
Medical Scribe/Healthcare Documentation,healthcare,ScribeAmerica,Hartford,CT,null,13,15,hour,Paid training to all hired employees that provides a crash course in medicine including terminology disease processes procedures medications medicalΓÇª
Preauthorization / Surgery Scheduler,healthcare,The Bone & Joint Center,Bismarck,ND,58501,17.5,21,hour,The Surgery SchedulerΓÇÖs responsibility is to ensure organize and maintain an active and accurate schedule for the patient.
Patient Registration Representative Virtual Hiring Event,healthcare,R1,Mesquite,NV,89027,0,0,null,High school diploma or GED required.Certification in healthcare access preferred.Prepare documents for imaging/scanning into electronic patient record.
Customer Service Agents - Healthcare Industry - Professional...,healthcare,BioGX Laboratory,Saint Petersburg,FL,33702,13,20,hour,Supplemental Bonus Pay Every Week.Call Center: 1 year (Preferred).
Front Office Assistant,healthcare,Northside Hospital,Duluth,GA,null,0,0,null,Answers phones (operator appointment back office lines etc.) in compliance with service goals.Accepts upfront payments (co-pays co-insurance etc.) andΓÇª
Patient Navigator (Ross Breast Center),healthcare,CHRISTUS Health,Tyler,TX,75702,0,0,null,Ensures patient is progressing towards desired outcomes by continuously assessing and responding to patient and family needs by coordinating efforts of otherΓÇª
General Education Teacher | Remote,education,Teleteachers,Remote in,null,null,0,0,null,Availability for the 2022-2023 school year.At least 3 years experience in a school-based setting.Knowledge-based competencies required to satisfactorilyΓÇª
Development Coordinator School of Education & Information S...,education,UCLA,Los Angeles,CA,null,0,0,null,As a Development Coordinator this is an entry level position where you can build your career in fundraising through our training mentoring and professionalΓÇª
Curriculum Developer,education,The IT Bootcamp,Remote,null,null,14,51,hour,The curriculum consists of an entire curriculum maintained in Google Classroom that was created by a SME for the I.T. industry (no coding project facing roles)ΓÇª
President of Medical Education,education,OnlineMedEd,Remote,null,null,250000,450000,year,Demonstrated thought leadership on the future of medical education.Lead an institutional success program to reduce or eliminate the friction associated withΓÇª
Assistant Director,education,Thurgood Marshall College Fund,Remote,null,null,75000,91000,year,Have a masterΓÇÖs degree (or equivalent) in fields that include organizational management education higher education leadership or similar fields.
Academic Online Tutors of all Subjects,education,Learnt,Remote,null,null,0,0,null,Set your hourly rate on the platform.Set your schedule and availability for tutoring.Decide if you want to meet online or in person.
Student Services Officer,education,Stanford University,Stanford,CA,null,0,0,null,Assist in planning and developing webinars education fairs and other external functions.BachelorΓÇÖs degree and two years of relevant experience or combinationΓÇª
Part-time Online Movie Appreciation/Literature Instructor fo...,education,Golden Gate College,null,null,null,40,80,hour,Strong education background (top 30 universities) or working experience (good private schools) are surely plus.Job Types: Part-time Contract Temporary.
Education Technician,education,US Bureau of Land Management,Temporarily Remote,OR,null,38649,50242,year,If you are using education completed in foreign colleges or universities to meet qualification requirements you must show that your education credentials haveΓÇª
Manager Higher Education,education,AArete,Remote in,TX,75201,0,0,null,Draw from experience to help solve business challenges within the education industry.6+ years of consulting experience with a strong background in higherΓÇª
Editorial Assistant (Education),education,Taylor and Francis,Philadelphia,PA,19106,0,0,null,Arranging the review of new book proposals.Liaising with authors series editors and reviewers.Administrating contracts reviewer payments and gratis copiesΓÇª
Education Program Manager,education,GLSEN Inc.,Remote,null,null,65000,75000,year,A minimum of 5-7 yearsΓÇÖ experience with progressive leadership responsibility within education organizations community organizing/coalition building or youthΓÇª
Online Part-Time Faculty - Early Childhood Education,education,Bryant & Stratton College,Orchard Park,NY,14127,0,0,null,Bryant & Stratton College is seeking a Part-Time instructor to teach early childhood education courses.B. MasterΓÇÖs degree in Education with a major (24 +ΓÇª
WorkReadyU/IET Instructor,education,South Louisiana Community College,Remote in,LA,null,0,0,null,Network in order to build relationships that maximize recruitment efforts and facilitate transition pathways to education training employment opportunities.
ELEMENTARY 4th GRADE READING,education,Region 8 ESC,Chisum,NM,null,0,0,null,Bachelor's degree from accredited university.Valid Texas teaching certificate with required endorsements for subject/level assigned.
Adjunct Faculty ESL Early Childhood Education Curriculum...,education,American College of Education,null,null,null,0,0,null,1+ year experience in teaching and leadership in a formal educational setting using both traditional and non-traditional teaching formats higher educationΓÇª
Education,education,US Department of the Air Force - Agency Wide,Remote in,UT,null,0,0,null,Promotion potential may be authorized depending upon position being filled.Eligibility for benefits depends on the type of position you hold and whether yourΓÇª
PT Instructor - Early Childhood Education,education,Santa Monica College,Santa Monica,CA,90405,85.17,116.28,hour,Teach bilingual studies and other related courses as needed.Home Economics/Family and Consumer Studies (with a specialization in Child Development/EarlyΓÇª
Communications General Education Online Adjunct Instructor -...,education,Concorde Career Colleges Inc,Remote in,MO,64111,0,0,null,An Online Adjunct Instructor is responsible for teaching contracted course(s) in accordance with Concorde curriculum requirements and meeting Concorde StandardsΓÇª
Part-Time Faculty - Education,education,Virginia Community College System,Virginia,null,null,0,0,null,The successful candidate will possess expert skills knowledge experience and education in the subject area and a history of successful teaching or relatedΓÇª
Education Specialist (NASA ),education,PARAGON TEC,Cleveland,OH,44115,0,0,null,Informal education experience (e.g. science centers) may be considered.Working with multiple Science Technology Engineering and Mathematics (STEM)ΓÇª
EDUCATION SPECIALIST,education,State of Hawaii,Oahu Island,HI,null,5600,6812,month,Specialized Experience: One year of progressively responsible professional work experience in a Hunter Education Program that demonstrated knowledge of hunterΓÇª
EDUCATION REGIONAL ACADEMIC CONSULTANT - 03242022-29100,education,State of Tennessee,Memphis,TN,null,62664,62664,year,Serves as subject matter expert on state standards and priority academic initiatives for local education agencies (LEAs).Possess a valid driver's license.
Math Grading Assistant,education,Kumon North America Inc.,Remote,null,null,13,13,hour,Grading Service hours of operation are 8:00am to 1:00pm Mountain Time 7 days/week; however each grader will be asked to work 5 of the 7 days each week and mayΓÇª
Student Success Advisor,education,Walden University,Remote in,MN,55401,0,0,null,*This is a fully remote position**.Student Success Advisors facilitate student success by defining and implementing proactive strategies that help studentsΓÇª
Online Adjunct Faculty - Leadership and Professional Skills,education,Unity College,Remote in,null,null,0,0,null,Unity College is seeking enthusiastic individuals to teach Leadership and Professional Skills courses for our online undergraduate and graduate degree programs.
Remote Education Representative,education,Vantage Learning,Remote,null,null,From,From,an,Approximately 10-15 hours per week to start.Responsibilities include tutoring students who request assistance with written assignments review and assist withΓÇª
EDUCATION PROGRAM DIRECTOR,education,State of Alabama Personnel Department,Montgomery,AL,36130,99650,151937,year,Post masterΓÇÖs education for one year of experience up to two years.Professional experience in a specialized education area and two years of supervisoryΓÇª
Online Part-Time Faculty - Reading and Special Education,education,American Public University System,null,null,null,0,0,null,Scholarly presentation and publication record in K-12 and/or teacher education in the area of reading education/literacy and/or special education.
Education - Freelance Writer - Psychology.org,education,RV Education Freelance Network,Remote in,WA,null,90,90,day,An ideal candidate will have some background in the field of psychology such as:An undergraduate degree or graduate degree (preferred) in psychology.
Early Childhood Education Adjunct,education,South Piedmont Community College (SPCC),North Carolina,null,null,0,0,null,Demonstrated innovation within the field of education and/or technology.The Early Childhood Education adjunct instructor provides quality learningΓÇª
Online Adjunct Faculty - Leadership and Professional Skills,education,Unity College,Remote in,null,null,0,0,null,Unity College is seeking enthusiastic individuals to teach Leadership and Professional Skills courses for our online undergraduate and graduate degree programs.
Digital Education Manager,education,Edwards Lifesciences,Irvine,CA,null,0,0,null,Support and contribute to development of tactics to maximize and tailor consumption of digital education resources by targeted audiences.
Adjunct Faculty Open Rank - Education,education,The City University of New York (CUNY),Brooklyn,NY,null,74.48,92.72,hour,Performs teaching research and guidance duties in area(s) of expertise.Shares responsibility for committee and department assignments including administrativeΓÇª
Student Support Specialist (Remote),education,Pearson,Remote in,FL,32806,0,0,null,4-year degree from an accredited institution OR appropriate combination of experience and education.The Student Support SpecialistΓÇÖs primary responsibility isΓÇª
Cincinnati OH Test Scorer 2022,education,Data Recognition Corporation,Remote in,OH,null,18,18,hour,You will be scoring standardized tests that students take to comply with Common Core State Standards.These tests are administered to elementary through highΓÇª
Data Collection Facilitator - Learning and Education,education,Apple,Cupertino,CA,null,0,0,null,You will manage the data collection process for multiple investigations in parallel.You will possess outstanding interpersonal communication skills highΓÇª
Quantitative Education Researcher - Center for Education Res...,education,SRI International,Remote in,CA,94025,81427,97101,year,STEM and computer science education.At least two years of research experience related to KΓÇô16 education.Bring your quantitative expertise to collaborationsΓÇª
Education - Freelance Writer - Psychology.org,education,RV Education Freelance Network,Remote in,WA,null,90,90,day,An ideal candidate will have some background in the field of psychology such as:An undergraduate degree or graduate degree (preferred) in psychology.
EDUCATION PROGRAM DIRECTOR,education,State of Alabama Personnel Department,Montgomery,AL,36130,99650,151937,year,Post masterΓÇÖs education for one year of experience up to two years.Professional experience in a specialized education area and two years of supervisoryΓÇª
CURRICULUM SPECIALIST CULTURALLY RESPONSIVE EDUCATION,education,Denver Public Schools,Denver,CO,80203,70057,84779,year,Administers and manages activities within a specific area of a responsibility.Serves as the subject matter expert and applies gained knowledge to executeΓÇª
Online Adjunct Instructor for Master of Education,education,Iowa Wesleyan University,Remote in,IA,52641,0,0,null,A doctorate degree in education or a related field.An online adjunct instructor for the Master of Education in Curriculum and Instruction is responsible forΓÇª
Part-Time English as a Second Language Teacher and Course De...,education,The Stony Brook School,Remote in,NY,null,0,0,null,null
Kinder/1st Grade Teacher,education,Region 8 ESC,Mount Pleasant,TX,75455,0,0,null,null
Online Instructor - College Success Skills,education,State of Louisiana,Remote in,LA,70806,0,0,null,Baton Rouge Community College (BRCC) seeks to fill the position of Online Instructor - College Success Skills is located in the Division of Innovative LearningΓÇª
Administrative Assistant - Education,education,Confidential,Waterbury,CT,null,0,0,null,A leader in the education sector is looking for an organized and self-motivated Administrative Assistant who will provide administrative support to ourΓÇª
Lecturer in Teacher Education Fall 2022,education,University of Southern Maine,Gorham,ME,null,50000,50000,year,Courses will be determined based on candidate expertise but may include sociocultural foundations of education introduction to teaching as a profession andΓÇª
Sr Education Researcher - Quantitative Research,education,SRI International,Remote in,CA,94025,104009,124030,year,STEM and computer science education.At least two years of research experience related to KΓÇô16 education.Coursework in statistical methods for causal inferenceΓÇª
Assistant Head of Virtual School Digital Teaching and Learn...,education,Great Minds,null,null,null,75000,85000,year,Submittal of resume and cover letter are required.Great MindsΓÇÖ Eureka Math is the most widely used curriculum in the history of American education.
K-12 Education Professional Learning Facilitators (Consultan...,education,Teaching Lab,Washington,DC,20056,50,50,hour,Experience building and managing relationships with diverse stakeholders in an education context.5+ totals years of experience in education and in implementingΓÇª
Online Adjunct General Education Faculty and Course Develope...,education,Husson University,null,null,null,0,0,null,Personal commitment to providing quality online education.Husson has helped thousands of students to benefit from the transformative power of education.
Adjunct Professor,education,Rhode Island School for Progressive Education,Remote,null,null,0,0,null,Please indicate in your cover letter when you apply which courses you are interested in teaching.Please submit a cover letter and a CV or resume to beΓÇª
Tutors,education,The New Community School,Remote in,VA,23227,55,55,hour,To Apply: * Please submit both a resume and cover letter.A bachelorΓÇÖs degree in education reading English math or another content area.
Adjunct Faculty Position; Education Department - Augsburg Un...,education,Augsburg University,Minneapolis,MN,null,0,0,null,Advanced academic preparation (Masters or PhD) in education.Evidence that the applicant is actively engaged in a local state or national education-focusedΓÇª
Instructional Designer,education,Amazon.com Services LLC,null,null,null,85600,149800,year,Bachelor's degree in Instructional Design Instructional Technology Distance Learning or related field.5+ years of learning experience design / instructionalΓÇª
DISTANCE EDUCATION FACULTY COORDINATOR,education,San Jose/Evergreen Community College District,San Jose,CA,95128,0,145632,year,Note: Actual Salary placement is based on candidate's verified education and experience.Facilitating and leading training on distance education methodologiesΓÇª
EDUCATION ADMINISTRATOR I-FINANCIAL,education,State of Alabama Personnel Department,Montgomery,AL,36130,53707,104767,year,The term regionally accredited school refers to an institution of higher education accredited by one of the six.Salary: $53707.20 - $104767.20.
Learning Designer (K-12 Science),education,ExploreLearning,Remote,null,null,0,0,null,Over the course of the last 20+ years weΓÇÖve received numerous awards from some of the worlds most respected education organizations and were recently namedΓÇª
Remote English Instructor,education,Berlitz,Remote in,NJ,8540,0,0,null,Berlitz Corporation is one of the worldΓÇÖs largest language education companies.For over 140 years Berlitz has been helping people develop their understandingΓÇª
Adjunct Faculty Online Education in Business,education,Sierra Nevada College,Incline Village,NV,89451,0,0,null,Sierra Nevada University maintains a pool of applicants for online adjunct faculty positions.Teaching responsibility may occur in certificate and degreeΓÇª
Remote English Instructor,education,Berlitz,Remote in,NJ,8540,0,0,null,As a Part-time English Language Instructor for Berlitz Global Online Delivery (GOLD) you must have exceptional communication skills in both English and yourΓÇª
Adjunct Faculty Online Education in Business,education,Sierra Nevada College,Incline Village,NV,89451,0,0,null,Teaching responsibility may occur in certificate and degree programs at the undergraduate and graduate level.Relevant industry experience record of excellenceΓÇª
Online K12 instructors (all subjects),education,Coding4youth.org,Remote,null,null,15,50,hour,Flexible teaching schedule (weekday after school or weekends).Job Types: Full-time Part-time Contract.
Adjunct Faculty -Online Campus - School of Education,education,UMass Global,Remote in,CA,95814,0,0,null,A minimum of 2 yearsΓÇÖ experience teaching adult learners online and in higher education with the ability to create and maintain an environment which emphasizesΓÇª
Adjunct Faculty ΓÇô Early Childhood Education,education,Morton College,Cicero,IL,60804,0,0,null,Masters Degree with concentration in Early Childhood Education or related field.Excellent oral and written communication skills.
Dean of Health & Education,education,Los Rios Community College District,Hybrid remote,CA,95825,142043,142043,year,Under the general direction of the appropriate college administrator the Dean of Health and Education performs duties in the administration and supervision ofΓÇª
SPECIAL EDUCATION TEACHER III - OAHU,education,State of Hawaii,Oahu Island,HI,null,4252,5178,month,Provides expertise in special education to enhance a child's overall development focusing on the areas of personal-social skills cognitive developmentΓÇª
EDUCATION SPECIALIST,education,State of Hawaii,Oahu Island,HI,null,5600,6812,month,Specialized Experience: One year of progressively responsible professional work experience in a Hunter Education Program that demonstrated knowledge of hunterΓÇª
Reading Language Arts Curriculum Leader (Grades K - 5) - Edu...,education,Public Consulting Group,Remote in,TX,78701,0,0,null,PCGΓÇÖs Education Consulting service line seeks a Reading Language Arts Curriculum Leader (Grades K - 5) for a highly complex and exciting Reading Language Arts ΓÇª
College Application Tutors Needed! (Fully Remote),education,Novastar Prep Tutoring,null,null,null,30,30,hour,We are seeking academic coaches for *College Admissions Planning *and* College Essay Advising* to work *online.*.BachelorΓÇÖs Degree or higher.
Customer Trainer for Business and Education (Portuguese or S...,education,Microsoft,Fort Lauderdale,FL,33309,0,0,null,Operating in four countries across 40+ Hub locations Microsoft Store Direct Sales and Support serves small and medium businesses educators and consumersΓÇª
Elementary Teachers,education,Rutherford County Schools,Murfreesboro,TN,null,0,0,null,Licensed Educator - Grade Level - Elementary School - K-5.Start Date 8/1/2022.Inquiries regarding Section 504 or the Americans with Disabilities Act should beΓÇª
2022-2023 J-1 Cultural Exchange Teaching Opportunities,education,Denver Public Schools,Denver,CO,80203,0,0,null,Help all students develop competence and confidence simultaneously through a balance of acquiring basic skills and developing conceptual understanding.
Supervisor of Special Education,education,Michigan Association of School Boards,Remote in,MI,null,99378,108810,year,Position/Type: Other full time.The Branch ISD Special Education Department serves students pre-K to age 26 with mild to severe disabilities and works closelyΓÇª
Online MBA Adjunct Faculty,education,Ohio Dominican University,Columbus,OH,43219,0,0,null,The MBA Program offers concentration areas in Data Analytics Risk Management Finance Accounting Leadership and Sport Management.
Virtual Teacher Elementary Physical Education (130)[188],education,Cobb County School District,Marietta,GA,30060,0,0,null,PAY GRADE: CIT 4 5 6 or 7.Certification/License Required: Valid Georgia Teaching Certificate.Teaches movement concepts in conjunction with awareness ofΓÇª
Instructor of Education & Early Childhood,education,Wharton County Junior College,Wharton,TX,77488,53140,66557,year,This position requires a Master's Degree in Early Childhood or Child Development or Child and Family Studies or a related discipline with a minimum of 18ΓÇª
NCLEX Webinar Instructor,education,ThinkNCLEX,Remote,null,null,50,50,hour,Bachelors degree or higher or associates degree and extensive experience in nursing education and NCLEX prep.Compensation starts at $50/hr plus a flat rate perΓÇª
Education and Communications Coordinator for Ocean Explorati...,education,National Marine Sanctuary Foundation,Remote in,AL,36528,0,0,null,Maintain education listserv and create/write regular education newsletter.Support development of new education web pages.
Education Research Assistant,education,SRI International,Remote in,CA,94025,0,0,null,B.A. in child development education early childhood education psychology or developmental psychology social work social welfare public health or aΓÇª
Purdue Global Assistant Dean School of General Education (R...,education,Purdue University,Remote in,null,null,0,0,null,The Assistant Dean in collaboration with the Dean and Associate Deans provides strategic leadership and promotes excellence in all phases of the SchoolΓÇÖsΓÇª
Purdue Global Academic Center Tutor (Remote),education,Purdue University,Remote in,null,null,0,0,null,Tutors are responsible for creating a positive supportive environment and providing specialized content knowledge assistance that helps students progress inΓÇª
Online Adjunct Faculty ΓÇô Psychology,education,Southern New Hampshire University,null,null,null,0,0,null,Tuition Benefits with family offerings.Option to save for Retirement.Southern New Hampshire University is currently seeking faculty to teach in our PsychologyΓÇª
EDUCATION SPECIALIST,education,Trinity Health System,Minot,ND,58702,0,0,null,Administers organizes and conducts training and education programs in specialized applications of personal computer systems with a focus on the MicrosoftΓÇª
EXECUTIVE DIRECTOR CAREER AND COLLEGE SUCCESS,education,Denver Public Schools,Denver,CO,80203,104676,163550,year,Leads the development implementation and growth of Career and College success programming to ensure that every student graduates career and college ready isΓÇª
Math And/Or ELA State Certified Teachers - (Remote/Online/Pa...,education,iTutor,Remote,null,null,0,75,hour,Are you a state certified teacher in Math or English Language Arts looking for a flexible and online teaching opportunity?*.Or create and share your own PD!
Teacher Google Children's Center,education,Google,Mountain View,CA,null,0,0,null,Associate's or Bachelor's degree in early childhood education or related field.1 year of experience teaching children ages 3 months to 6 years.
OPS College of Education University Supervisor,education,Florida Gulf Coast University,Fort Myers,FL,33965,0,0,null,The position will supervise students during their placements.The major roles of the University Supervisor are to be a facilitator in the student teachingΓÇª
Program Executive Early Education,education,YMCA of Austin,Austin,TX,null,60000,70000,year,Education: BachelorΓÇÖs degree from a four-year college or university focusing on early childhood education elementary education child development or relatedΓÇª
Special Education Paraprofessional,education,Region 8 ESC,Mount Pleasant,TX,75455,0,0,null,In order to provide support for student's physical needs special education paraprofessionals may be required to lift students assist with toileting needs andΓÇª
EXECUTIVE DIRECTOR CAREER AND COLLEGE SUCCESS,education,Denver Public Schools,Denver,CO,80203,104676,163550,year,Leads the development implementation and growth of Career and College success programming to ensure that every student graduates career and college ready isΓÇª
Teacher - English Office Education,education,Duval County Public Schools,Jacksonville,FL,32207,47500,74491,year,Makes provision for being available to students and parents for education related purposes outside the instructional day when required or requested to do soΓÇª
SPECIAL EDUCATION TEACHER III - OAHU,education,State of Hawaii,Oahu Island,HI,null,4252,5178,month,Provides expertise in special education to enhance a child's overall development focusing on the areas of personal-social skills cognitive developmentΓÇª
